EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,2.3050978,0.0023225914,0.06999441,2.3774147
100,0.11925093,0.0019106831,0.025453344,0.14661497
200,0.010771058,9.539169e-05,0.00921224,0.020078689
300,0.0068705967,0.000100299054,0.007022106,0.013993002
400,0.00537364,9.112578e-05,0.0054849694,0.0109497355
500,0.004469417,8.059838e-05,0.004511887,0.009061903
600,0.0037404394,7.050044e-05,0.003852827,0.0076637673
700,0.0031378288,6.1914274e-05,0.0033489242,0.0065486673
800,0.0026755566,5.5155677e-05,0.0029390154,0.005669728
900,0.0023066532,4.9487222e-05,0.0025928775,0.004949018
1000,0.0026808975,1.8004841e-05,0.003205816,0.0059047183
1100,0.0018841593,4.1071093e-05,0.002130957,0.0040561873
1200,0.0017817534,3.8469283e-05,0.0019793329,0.0037995554
1300,0.0016982157,3.5915837e-05,0.0018372153,0.0035713466
1400,0.0016306272,3.3721677e-05,0.0017090961,0.003373445
1500,0.0015725652,3.1970074e-05,0.0015979271,0.003202462
1600,0.0016262591,1.3558185e-05,0.0016865606,0.0033263778
1700,0.0014667398,2.7437656e-05,0.001462429,0.0029566064
1800,0.01177338,0.00071276526,0.0031968504,0.015682995
1900,0.0013776607,2.49598e-05,0.0013834771,0.0027860976
2000,0.0013404639,2.5880046e-05,0.0012999298,0.0026662736
2100,0.0014625182,7.926861e-06,0.0017277165,0.0031981617
2200,0.0012670895,2.2735268e-05,0.0012896992,0.002579524
2300,0.0012303495,2.3010727e-05,0.0012102961,0.0024636562
2400,0.0011821181,2.1849557e-05,0.0011588908,0.0023628583
2500,0.0011754804,2.3742217e-05,0.0012115901,0.0024108128
2600,0.0011166949,2.0512864e-05,0.0011377024,0.00227491
2700,0.0010758076,2.0679105e-05,0.0010791745,0.0021756613
2800,0.0010318913,1.4992713e-05,0.0012368567,0.0022837406
2900,0.0010143798,1.8267583e-05,0.001082117,0.0021147644
3000,0.0009771276,1.878867e-05,0.0010175311,0.0020134475
3100,0.010557732,0.0005072493,0.0044878335,0.015552814
3200,0.00092433597,1.4978342e-05,0.0010862433,0.0020255574
