EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,4.269434,0.13115254,0.7842635,5.18485
100,0.044406995,0.0003760463,0.008413492,0.053196535
200,0.011081215,0.00010239325,0.005320319,0.016503926
300,0.007053224,5.206971e-05,0.003883035,0.010988328
400,0.0060358266,3.6675807e-05,0.005092795,0.011165297
500,0.00437695,4.00902e-05,0.0028058975,0.007222938
600,0.003360653,2.9209123e-05,0.002137212,0.0055270744
700,0.0054054772,0.00014767097,0.0027243067,0.008277455
800,0.0026758404,3.5139023e-05,0.0020962365,0.0048072156
900,0.002262988,2.6896454e-05,0.0015969358,0.00388682
1000,0.0019444484,2.3642284e-05,0.0013088784,0.003276969
1100,0.001784934,2.2654785e-05,0.0011981073,0.003005696
1200,0.0016250346,2.1837626e-05,0.0010967164,0.0027435888
1300,0.0014644429,2.1069716e-05,0.0010007082,0.002486221
1400,0.0013039603,2.0274467e-05,0.0009087143,0.002232949
1500,0.0011446113,1.9386443e-05,0.00082023785,0.0019842356
1600,0.0009884061,1.8365588e-05,0.00073528965,0.0017420613
1700,0.00083871774,1.7212875e-05,0.00065434125,0.0015102718
1800,0.00070015,1.5968108e-05,0.0005781817,0.0012942998
1900,0.010186367,0.0006077632,0.0025322293,0.013326359
2000,0.00049760286,1.2687019e-05,0.00051103364,0.0010213236
2100,0.0004199291,1.2278749e-05,0.00043386727,0.0008660751
2200,0.00035260504,1.1466933e-05,0.00037625557,0.0007403275
2300,0.0004036243,6.0595157e-06,0.00036993268,0.00077961653
2400,0.00026364223,9.773075e-06,0.0003285248,0.0006019401
2500,0.00022606176,9.051175e-06,0.0002825489,0.0005176618
2600,0.00019394817,9.2016e-06,0.00024753035,0.00045068012
2700,0.00017757666,6.1571614e-06,0.0002645029,0.0004482367
2800,0.00015337512,6.972048e-06,0.00021910685,0.00037945402
2900,0.00013389433,6.442947e-06,0.00019125949,0.00033159676
3000,0.001136243,3.3738197e-05,0.0005363254,0.0017063066
3100,0.00011132402,5.345522e-06,0.00017731151,0.00029398105
3200,0.000100768855,4.891311e-06,0.00015202691,0.00025768706
3300,9.061238e-05,4.5641673e-06,0.00013356729,0.00022874384
3400,8.7206216e-05,4.568151e-06,0.00015226769,0.00024404206
3500,8.228005e-05,3.7632556e-06,0.00012227052,0.00020831382
3600,7.6119846e-05,3.5646804e-06,0.00010628072,0.00018596525
3700,0.0010356491,8.333898e-05,0.0005634624,0.0016824504
3800,7.37166e-05,2.94173e-06,0.00010506876,0.00018172708
3900,6.978923e-05,2.8222942e-06,8.888568e-05,0.00016149721
4000,6.546338e-05,2.7291285e-06,7.761551e-05,0.00014580801
4100,0.00020655352,7.2779394e-06,0.00012718237,0.00034101383
4200,6.4443964e-05,2.275508e-06,7.349004e-05,0.00014020951
4300,6.0959792e-05,2.2456163e-06,6.350796e-05,0.00012671338
4400,0.00023180305,2.4310713e-05,0.00015609965,0.0004122134
4500,6.1675164e-05,1.8651306e-06,6.218172e-05,0.00012572201
4600,5.8289177e-05,1.8853082e-06,5.356842e-05,0.000113742906
4700,0.00194803,0.00015250385,0.0005486477,0.0026491815
4800,5.945487e-05,1.5994941e-06,5.41232e-05,0.000115177565
4900,5.5991084e-05,1.6360624e-06,4.6586414e-05,0.00010421356
5000,0.0016709736,0.00017281165,0.0004665107,0.0023102958
5100,5.52814e-05,1.3373809e-06,5.6343197e-05,0.00011296198
5200,5.3734075e-05,1.458603e-06,5.194446e-05,0.00010713714
5300,5.3455584e-05,1.4966157e-06,4.917239e-05,0.00010412459
5400,5.3050742e-05,1.5070614e-06,4.7054833e-05,0.00010161264
5500,5.252533e-05,1.5096354e-06,4.523082e-05,9.926579e-05
5600,5.192847e-05,1.5091462e-06,4.3564243e-05,9.700185e-05
5700,5.1293035e-05,1.5054029e-06,4.1992746e-05,9.479118e-05
5800,5.0630664e-05,1.4988183e-06,4.048737e-05,9.261686e-05
5900,4.9947732e-05,1.4886322e-06,3.9033584e-05,9.046995e-05
6000,4.9244616e-05,1.4750319e-06,3.7621303e-05,8.834095e-05
6100,4.852309e-05,1.4583795e-06,3.6247973e-05,8.622944e-05
6200,4.7785015e-05,1.4382729e-06,3.4908036e-05,8.413132e-05
6300,4.7032932e-05,1.4151253e-06,3.3599656e-05,8.204771e-05
6400,4.6262598e-05,1.3895741e-06,3.232089e-05,7.997306e-05
6500,4.5477635e-05,1.3614117e-06,3.1073003e-05,7.791205e-05
6600,4.467426e-05,1.3312299e-06,2.9854305e-05,7.5859796e-05
6700,4.3856006e-05,1.2990392e-06,2.866561e-05,7.382066e-05
6800,4.3022843e-05,1.2652338e-06,2.7507283e-05,7.179536e-05
6900,4.2175223e-05,1.2301813e-06,2.6377074e-05,6.978248e-05
7000,4.1310603e-05,1.193865e-06,2.52769e-05,6.778137e-05
7100,4.0431532e-05,1.1567797e-06,2.4206307e-05,6.579462e-05
7200,3.953936e-05,1.1192408e-06,2.3165834e-05,6.382443e-05
7300,3.8632617e-05,1.081221e-06,2.2153381e-05,6.186722e-05
7400,3.771325e-05,1.0430957e-06,2.1173117e-05,5.992946e-05
7500,3.6781934e-05,1.004835e-06,2.0221101e-05,5.800787e-05
7600,3.583927e-05,9.668771e-07,1.9300238e-05,5.6106386e-05
7700,3.4887078e-05,9.295203e-07,1.8407705e-05,5.4224303e-05
7800,3.3925746e-05,8.925255e-07,1.7543376e-05,5.2361647e-05
7900,3.295764e-05,8.5624043e-07,1.6709992e-05,5.052387e-05
8000,3.1981635e-05,8.207723e-07,1.5906196e-05,4.8708604e-05
8100,3.1004573e-05,7.863114e-07,1.5129719e-05,4.6920606e-05
8200,3.0162684e-05,7.453756e-07,1.4342052e-05,4.525011e-05
8300,2.9599807e-05,7.5865955e-07,1.3959633e-05,4.43181e-05
8400,2.8463028e-05,6.9339234e-07,1.3409651e-05,4.256607e-05
8500,0.00015375356,2.029548e-06,3.6676767e-05,0.00019245986
8600,2.699065e-05,6.3447044e-07,1.2485836e-05,4.0110957e-05
8700,2.6190262e-05,6.2117306e-07,1.1864924e-05,3.867636e-05
8800,8.242878e-05,1.1899613e-06,2.5605745e-05,0.000109224486
8900,2.4757246e-05,5.8506254e-07,1.120666e-05,3.654897e-05
9000,2.7096443e-05,5.9704564e-07,1.1604763e-05,3.929825e-05
9100,2.362303e-05,5.1145236e-07,1.0437335e-05,3.4571818e-05
9200,2.5485595e-05,5.492317e-07,1.05065365e-05,3.6541365e-05
9300,2.2494129e-05,5.038469e-07,9.681622e-06,3.2679596e-05
9400,2.2676468e-05,5.577921e-07,1.0146029e-05,3.338029e-05
9500,2.1582156e-05,5.862863e-07,9.155003e-06,3.1323445e-05
9600,2.0641975e-05,4.840931e-07,8.790933e-06,2.9917e-05
9700,2.0320258e-05,4.3691642e-07,8.894793e-06,2.9651967e-05
9800,1.9666668e-05,4.596336e-07,8.274105e-06,2.8400405e-05
9900,0.00012515097,1.093318e-06,2.6838768e-05,0.00015308305
10000,1.8685583e-05,4.5176185e-07,7.913501e-06,2.7050846e-05
10100,1.88384e-05,4.236127e-07,7.740957e-06,2.700297e-05
10200,3.5267967e-05,1.1083264e-06,1.31434335e-05,4.9519724e-05
10300,1.7550316e-05,4.0274253e-07,7.2791936e-06,2.5232252e-05
10400,0.00017783852,1.4459389e-05,3.5669418e-05,0.00022796734
10500,2.653469e-05,4.9040455e-07,8.834066e-06,3.585916e-05
10600,1.6231734e-05,3.862564e-07,6.7021315e-06,2.3320123e-05
10700,1.6190825e-05,4.296018e-07,6.6638863e-06,2.3284312e-05
10800,1.5473688e-05,3.7199152e-07,6.3466496e-06,2.219233e-05
10900,1.5321075e-05,3.3899693e-07,6.402441e-06,2.2062513e-05
11000,1.4820542e-05,3.5169106e-07,6.147558e-06,2.131979e-05
11100,1.4578346e-05,3.8557337e-07,5.9451213e-06,2.0909041e-05
11200,2.2027167e-05,1.4205161e-06,8.163222e-06,3.1610907e-05
11300,1.3857082e-05,3.4156898e-07,5.763557e-06,1.9962208e-05
11400,8.541321e-05,2.1689928e-06,2.6017717e-05,0.00011359992
11500,1.33860585e-05,3.1889073e-07,5.4977654e-06,1.9202715e-05
11600,0.0005558008,1.38463965e-05,2.5055557e-05,0.0005947027
11700,1.2798957e-05,3.385491e-07,5.4751404e-06,1.8612645e-05
11800,1.2588619e-05,3.2787605e-07,5.343374e-06,1.825987e-05
11900,0.00064886844,2.5058267e-05,0.00022126373,0.00089519046
12000,1.1991171e-05,3.0019e-07,5.025638e-06,1.7317e-05
12100,4.1819487e-05,3.1658383e-06,1.1977536e-05,5.696286e-05
12200,1.2936474e-05,3.0196867e-07,5.1969614e-06,1.8435405e-05
12300,2.0974381e-05,5.8604246e-07,7.771584e-06,2.9332008e-05
12400,2.2485232e-05,7.442968e-07,8.552241e-06,3.1781772e-05
12500,1.0831782e-05,2.7032382e-07,4.6379737e-06,1.574008e-05
12600,1.6560312e-05,7.589491e-07,6.027182e-06,2.3346443e-05
12700,1.2728803e-05,3.1253515e-07,5.2934065e-06,1.8334744e-05
12800,1.0174486e-05,2.6700954e-07,4.3885643e-06,1.48300605e-05
