EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,1.4537598,0.10396425,0.30898848,1.8667125
100,0.026065294,1.6224896e-05,0.007244105,0.033325624
200,0.008070256,6.558689e-05,0.0066164145,0.014752257
300,0.0058094095,8.255197e-05,0.0051911473,0.011083109
400,0.004624548,8.0465536e-05,0.003937649,0.008642662
500,0.0037976815,7.4091084e-05,0.0029380296,0.0068098023
600,0.0059797335,0.00023506637,0.0024624655,0.008677266
700,0.002826273,6.970394e-05,0.0023084164,0.0052043935
800,0.0023593584,6.19659e-05,0.0018214934,0.004242818
900,0.0028369445,5.8180747e-05,0.0031925072,0.0060876324
1000,0.0021093076,6.1834544e-05,0.0019974061,0.004168548
1100,0.0019280763,5.5871333e-05,0.0017456963,0.003729644
1200,0.0017765384,5.0351722e-05,0.0015662697,0.00339316
1300,0.001644748,4.5885623e-05,0.0014254851,0.0031161187
1400,0.00152627,4.2252377e-05,0.0013073232,0.0028758456
1500,0.0014163731,3.9097504e-05,0.0012034787,0.0026589492
1600,0.0013120283,3.6191643e-05,0.0011094047,0.0024576248
1700,0.0012111769,3.3437398e-05,0.0010225557,0.00226717
1800,0.0011122592,3.0807558e-05,0.00094128854,0.002084355
1900,0.0010140561,2.832624e-05,0.00086408586,0.0019064683
2000,0.00091852224,2.0280522e-05,0.000808396,0.0017471988
2100,0.00088493456,2.3420964e-05,0.0008282405,0.0017365961
2200,0.0007939913,2.3707455e-05,0.0007074396,0.0015251384
2300,0.00069252966,2.1860838e-05,0.0006163741,0.0013307646
2400,0.000590284,1.9925264e-05,0.0005304855,0.0011406947
2500,0.0005416764,1.0805908e-05,0.0005286333,0.0010811156
2600,0.0004335658,1.7348353e-05,0.0004066907,0.0008576048
2700,0.00036976885,1.5240698e-05,0.00033682934,0.00072183885
2800,0.0003200873,1.3351554e-05,0.00028380117,0.00061724003
2900,0.0002803414,1.1764527e-05,0.00024303255,0.0005351385
3000,0.00026419316,1.0651505e-05,0.00023851488,0.0005133595
3100,0.00023307068,1.0206202e-05,0.00020391982,0.00044719668
3200,0.000210257,9.1442e-06,0.00017640866,0.00039580985
3300,0.00018936311,8.179474e-06,0.00015347768,0.00035102028
3400,0.0001928419,6.157005e-06,0.0001613705,0.0003603694
3500,0.00016599547,7.2245543e-06,0.000132415,0.00030563504
3600,0.00015049921,6.5226113e-06,0.00011367364,0.00027069545
3700,0.002388153,0.00023216945,0.00094231823,0.0035626406
3800,0.00013268493,5.378205e-06,9.714851e-05,0.00023521164
3900,0.000119657445,5.0613417e-06,8.2385595e-05,0.00020710439
4000,0.00018371081,1.1647213e-05,9.8539866e-05,0.0002938979
4100,0.000101802725,4.30118e-06,7.006037e-05,0.00017616428
4200,0.0051777572,0.00012696175,0.0014098955,0.006714614
4300,9.141793e-05,3.5508413e-06,5.8442638e-05,0.00015341141
4400,8.305405e-05,3.1515515e-06,4.7777277e-05,0.00013398287
4500,0.00014058896,2.222425e-06,4.5583154e-05,0.00018839454
4600,7.0162154e-05,2.5643908e-06,3.9727223e-05,0.00011245377
4700,8.3668376e-05,5.682058e-06,4.8541588e-05,0.00013789203
4800,6.655399e-05,2.050738e-06,3.241089e-05,0.00010101562
4900,0.003004725,3.7345417e-05,6.7712004e-05,0.0031097825
5000,5.9789803e-05,1.2985953e-06,2.8427252e-05,8.9515655e-05
5100,5.565614e-05,1.6356322e-06,2.786588e-05,8.5157655e-05
5200,5.4807388e-05,1.5570806e-06,2.6593068e-05,8.2957544e-05
5300,5.3935968e-05,1.4880918e-06,2.5448122e-05,8.087218e-05
5400,5.3039486e-05,1.4245782e-06,2.4399422e-05,7.8863486e-05
5500,5.211746e-05,1.3646937e-06,2.3424745e-05,7.69069e-05
5600,5.1171854e-05,1.307428e-06,2.2509394e-05,7.498868e-05
5700,5.0204493e-05,1.2521454e-06,2.1642929e-05,7.309957e-05
5800,4.921948e-05,1.1983263e-06,2.0816471e-05,7.123428e-05
5900,4.8220634e-05,1.1449534e-06,2.0021893e-05,6.938748e-05
6000,4.7209345e-05,1.0930538e-06,1.9258448e-05,6.7560846e-05
6100,4.6191304e-05,1.0415445e-06,1.8519982e-05,6.5752836e-05
6200,4.516794e-05,9.909443e-07,1.7804792e-05,6.396367e-05
6300,4.414158e-05,9.413801e-07,1.711151e-05,6.2194464e-05
6400,4.3114836e-05,8.9255707e-07,1.6438938e-05,6.044633e-05
6500,4.2088966e-05,8.453844e-07,1.5785954e-05,5.8720303e-05
6600,4.1066873e-05,7.997799e-07,1.5153013e-05,5.7019664e-05
6700,4.004869e-05,7.5548047e-07,1.4539606e-05,5.5343775e-05
6800,3.903567e-05,7.128152e-07,1.3946314e-05,5.3694795e-05
6900,3.8030135e-05,6.720992e-07,1.3371477e-05,5.2073712e-05
7000,3.7031234e-05,6.3352525e-07,1.2816383e-05,5.048114e-05
7100,3.6040157e-05,5.970358e-07,1.2281591e-05,4.8918784e-05
7200,3.505897e-05,5.623741e-07,1.1765167e-05,4.7386508e-05
7300,3.4085348e-05,5.299253e-07,1.1269651e-05,4.5884924e-05
7400,3.312242e-05,4.993467e-07,1.079276e-05,4.4414523e-05
7500,3.2167995e-05,4.713971e-07,1.0335906e-05,4.2975298e-05
7600,3.1223608e-05,4.4531066e-07,9.898547e-06,4.1567466e-05
7700,3.0290881e-05,4.2087677e-07,9.478523e-06,4.019028e-05
7800,2.9368093e-05,3.987308e-07,9.077683e-06,3.8844504e-05
7900,2.8457027e-05,3.778131e-07,8.693925e-06,3.7528764e-05
8000,2.7557384e-05,3.591569e-07,8.328296e-06,3.6244834e-05
8100,0.00011363717,9.223583e-06,4.241435e-05,0.00016527511
8200,2.6017395e-05,3.4377916e-07,7.75487e-06,3.4116045e-05
8300,2.5205463e-05,3.1684235e-07,7.4309582e-06,3.2953263e-05
8400,2.7004831e-05,8.0141797e-07,8.342182e-06,3.614843e-05
8500,2.387654e-05,2.9146662e-07,6.9418647e-06,3.1109874e-05
8600,0.00022800213,9.900412e-06,1.9835368e-05,0.00025773793
8700,2.9211984e-05,2.063977e-07,8.060238e-06,3.7478618e-05
8800,2.1949436e-05,3.1895055e-07,6.4037267e-06,2.8672113e-05
8900,4.14117e-05,2.1694398e-06,1.2639716e-05,5.6220855e-05
9000,2.0874582e-05,2.5796444e-07,5.9496997e-06,2.7082246e-05
