EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,10.836601,0.21389198,1.6807443,12.731237
100,0.048372734,5.8908783e-05,0.019508597,0.06794024
200,0.01940422,3.900019e-05,0.014012912,0.03345613
300,0.014206274,2.8446364e-05,0.012136949,0.026371669
400,0.011142819,2.3457062e-05,0.010595426,0.021761702
500,0.008925764,1.796434e-05,0.009333276,0.018277006
600,0.007390893,1.3145213e-05,0.00830744,0.015711477
700,0.007068809,1.0090851e-05,0.008027514,0.015106414
800,0.0058458927,6.7062238e-06,0.0073877773,0.0132403765
900,0.005128496,5.821202e-06,0.006669298,0.011803614
1000,0.008768915,0.00016779437,0.010455094,0.019391805
1100,0.0045942143,2.748328e-06,0.006749022,0.011345984
1200,0.004163603,3.2157855e-06,0.006252069,0.010418887
1300,0.003799891,3.3941953e-06,0.0058246483,0.009627933
1400,0.0034819995,3.5557555e-06,0.0054318327,0.008917388
1500,0.0032081953,3.726506e-06,0.0050747897,0.008286712
1600,0.0029798374,3.8662074e-06,0.0047575226,0.0077412263
1700,0.0027878108,3.9482234e-06,0.004478841,0.0072706
1800,0.002617418,3.988323e-06,0.004231142,0.006852548
1900,0.002458402,4.020417e-06,0.0040035546,0.006465977
2000,0.0023064541,4.070675e-06,0.0037850966,0.0060956217
2100,0.002159621,4.1526155e-06,0.0035668837,0.005730658
