EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,1.5430876,0.0055384417,0.06919135,1.6178174
100,0.14049351,0.00079307397,0.023250123,0.1645367
200,0.02232026,6.704255e-05,0.0034540575,0.025841359
300,0.0071282396,4.9630624e-05,0.002321002,0.009498872
400,0.004912975,2.657769e-05,0.0019759198,0.006915472
500,0.0041623986,1.9468745e-05,0.0019994099,0.0061812773
600,0.003465456,1.8540928e-05,0.001734048,0.005218045
700,0.0034220046,3.2958964e-05,0.0018472538,0.0053022173
800,0.0028283163,1.7235816e-05,0.0016268694,0.0044724215
900,0.0024392256,1.4734362e-05,0.0014516423,0.0039056023
1000,0.0027120663,2.7855608e-06,0.0021523754,0.0048672273
1100,0.0024061236,1.6274822e-05,0.0015578362,0.0039802347
1200,0.0022393838,1.5129335e-05,0.0014374733,0.0036919864
1300,0.0020941426,1.4050219e-05,0.0013396064,0.0034477992
1400,0.0019587176,1.3099399e-05,0.0012556405,0.0032274574
1500,0.0018290519,1.22374695e-05,0.0011800689,0.0030213585
1600,0.0017038283,1.1448321e-05,0.0011090679,0.0028243447
1700,0.0015821818,1.07298565e-05,0.0010402317,0.0026331432
1800,0.0014632626,1.0078354e-05,0.00097211864,0.0024454596
1900,0.0013462267,9.485095e-06,0.0009039521,0.0022596638
2000,0.0012303438,8.938125e-06,0.00083545235,0.0020747343
2100,0.0013520116,3.225382e-05,0.0008600411,0.0022443065
2200,0.0010674862,8.651636e-06,0.00074609416,0.001822232
2300,0.00095581234,8.1640665e-06,0.0006702968,0.0016342732
2400,0.003075339,0.0001865912,0.0011671025,0.004429033
2500,0.0008252231,8.205445e-06,0.0005856728,0.0014191014
2600,0.0007142905,7.327612e-06,0.0005158422,0.0012374604
2700,0.0006090359,6.5616887e-06,0.00045548327,0.0010710808
2800,0.00059925206,1.2867286e-05,0.00046548434,0.0010776037
2900,0.0004965795,5.828408e-06,0.0003857545,0.0008881624
3000,0.000405715,4.8996903e-06,0.00033732256,0.00074793724
3100,0.0017615386,0.00013225533,0.0006770542,0.002570848
3200,0.00031045233,3.4144919e-06,0.00028312302,0.0005969899
3300,0.00024262186,3.036263e-06,0.00024843335,0.0004940915
3400,0.0055005914,0.0002758115,0.0012202997,0.006996703
3500,0.00018244694,1.8121525e-06,0.00021178706,0.00039604615
3600,0.00014776316,1.6651929e-06,0.0001891074,0.00033853576
3700,0.00024695307,1.0494387e-06,0.00016244699,0.0004104495
3800,0.00012242609,1.2121483e-06,0.00016684725,0.00029048548
3900,0.00013005489,6.4230726e-06,0.00018833645,0.0003248144
4000,0.00010882749,9.426284e-07,0.00015103612,0.00026080624
4100,0.00034937396,7.613795e-06,0.00017402876,0.0005310165
4200,0.00010231891,8.5925814e-07,0.00013817663,0.0002413548
4300,0.0004723459,1.3931164e-05,0.00012633382,0.00061261095
4400,9.737768e-05,7.380687e-07,0.00012752457,0.00022564032
4500,0.0034393892,0.00012801858,0.00017260422,0.0037400122
4600,9.3605755e-05,5.444437e-07,0.000115883806,0.000210034
4700,0.00075537554,4.021696e-05,0.00025462767,0.0010502202
4800,8.626855e-05,6.9545456e-07,0.00010807272,0.00019503672
4900,0.00050590053,1.4341354e-05,0.00021695635,0.0007371983
5000,8.249047e-05,6.0565037e-07,0.000100153935,0.00018325006
5100,8.157289e-05,5.944971e-07,9.835687e-05,0.00018052426
5200,8.085885e-05,5.76674e-07,9.650788e-05,0.00017794341
5300,8.01744e-05,5.6099526e-07,9.462511e-05,0.0001753605
