EPOCH #,EQ Loss,IC Loss,BC Loss,Total Loss
0,6.7156444,0.24597104,1.0980048,8.05962
100,0.13026297,0.0012255525,0.026030099,0.15751861
200,0.013054979,6.5347675e-05,0.0049629444,0.01808327
300,0.006660452,7.908449e-05,0.0041465764,0.010886112
400,0.004370319,6.9684276e-05,0.0031854531,0.007625457
500,0.0036879943,5.2995478e-05,0.0028091327,0.0065501225
600,0.0044274693,3.616168e-05,0.0035774661,0.008041097
700,0.0030081018,3.8462822e-05,0.0025459318,0.005592496
800,0.0026659358,3.441494e-05,0.0023344883,0.0050348393
900,0.014319074,0.00038305382,0.006883573,0.0215857
1000,0.002427564,2.9289231e-05,0.0023222952,0.0047791484
1100,0.0022880174,2.8221464e-05,0.0022130134,0.004529252
1200,0.002155269,2.6610001e-05,0.0021091853,0.0042910646
